key,source_language,target_language
app.pageTitles.search,Suche,جستجو
app.pageTitles.events,Veranstaltungen,رویدادها
app.pageTitles.offers,Angebote,خدمات
app.pageTitles.landing,Ortsauswahl,انتخاب محل
app.pageTitles.disclaimer,Impressum und Kontakt,اطلاعات ناشر و تماس
app.pageTitles.mainDisclaimer,Impressum und Kontakt - {{appName}},اطلاعات ناشر و تماس - {{appName}}
app.pageTitles.pois,Points of Interest,موارد مورد علاقه
app.pageTitles.notFound,Seite nicht gefunden,صفحه پیدا نشد
app.pageTitles.tunews,tünews,tünews
app.pageTitles.localNews,Lokale Nachrichten,
app.metaDescription,"{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.",{{appName}} راهنمای دیجیتالی شما در مورد آلمان است. اطلاعات، رویدادها و مشاوره محلی را بیابید. همیشه به روز و به زبان شما.
categories.createPdf,PDF erstellen,ایجاد پی دی اف
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,متاسفانه زبان شما در اینجا در دسترس نیست.
common.chooseALanguage,Wähle eine Sprache.,یک زبان را انتخاب کنید.
common.lastUpdate,Letzte Änderung: ,آخرین تغییرات: 
dashboard.localInformation,Lokale Informationen,اطلاعات محلی
dashboard.offers,Angebote,خدمات
dashboard.events,Veranstaltungen,رویدادها
dashboard.news,Nachrichten,
dashboard.newsAlternative,Neuigkeiten,
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,متاسفانه زبان شما در اینجا در دسترس نیست.
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,متاسفانه این شهر یافت نشد.
error.notFound.category,Diese Seite wurde leider nicht gefunden.,متاسفانه این صفحه یافت نشد.
error.notFound.event,Dieses Event wurde leider nicht gefunden.,متأسفانه این رویداد یافت نشد.
error.notFound.offer,Dieses Angebot wurde leider nicht gefunden.,متأسفانه این خدمات یافت نشد.
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,متأسفانه این موارد مورد علاقه یافت نشد.
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,متاسفانه این صفحه یافت نشد.
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,اتصال به سرور انجام نشد.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,درخواست قابل پردازش نیست.
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,پاسخ سرور قابل پردازش نیست.
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,خطای ناشناخته رخ داده است.
error.tryAgain,Erneut versuchen,مجددا سعی کنید
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,متاسفانه صفحه بارگیری نمی شود.
error.chooseALanguage,Wähle eine Sprache:,یک زبان را انتخاب کنید:
error.goTo.start,Zur Startseite,به سوی صفحه اصلی
error.goTo.categories,Zu den Kategorien,به سوی دسته بندی ها
error.goTo.events,Zu den Veranstaltungen,به سوی رویدادها
error.goTo.offers,Zu den Angeboten,به سوی خدمات
error.pageTitle,Fehler,خطا
error.generalError,Ein Fehler ist aufgetreten,خطایی رخ داده است
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,متأسفانه تغییر زبان انجام نشد.
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,زبان انتخابی بصورت آفلاین در دسترس نیست. اتصال اینترنت فعال ضروری است.
events.location,Standort,محل
events.date,Datum,تاریخ
events.events,Veranstaltungen,رویدادها
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,در حال حاضر هیچ رویدادی وجود ندارد.
feedback.technicalTopics,Technische Funktionen,عملکردهای فنی
feedback.contentOfCity,Inhalte von {{city}},محتوای {{city}}
feedback.contentOfOffer,"Angebot ""{{offer}}""","خدمات ‎""‎{{offer}}‎"""
feedback.disclaimer,Kontakt und Impressum,اطلاعات ناشر و تماس
feedback.searchFor,Suche nach,جستجو برای
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""","محتوای صفحه‎""‎{{page}}‎"""
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""","محتوای رویداد‎""‎{{event}}‎"""
feedback.send,Abschicken,ارسال
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,هنگام ارسال بازخورد خطایی روی داد.
feedback.feedback,Feedback,بازخورد
feedback.positiveComment,Was war hilfreich?,چه چیزی مفید بود؟
