"key","source_language","target_language"
"app.pageTitles.search","Suche","Buscar"
"app.pageTitles.events","Veranstaltungen","Actividades"
"app.pageTitles.offers","Angebote","Ofertas"
"app.pageTitles.landing","Ortsauswahl","Elegir ubicación"
"app.pageTitles.disclaimer","Impressum und Kontakt","Aviso legal y contacto"
"app.pageTitles.mainDisclaimer","Impressum und Kontakt - {{appName}}","Aviso legal y contacto - {{appName}}"
"app.pageTitles.pois","Points of Interest","Puntos de interés"
"app.pageTitles.notFound","Seite nicht gefunden","No se ha encontrado la página"
"app.pageTitles.tunews","tünews","tünews"
"app.pageTitles.localNews","Lokale Nachrichten","Noticias locales"
"app.metaDescription","{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} es su guía digital para Alemania. Encuentre información local, eventos y consejos. Siempre actualizados y en su idioma."
"categories.createPdf","PDF erstellen","Crear PDF"
"common.languageNotAvailable","Deine Sprache ist hier leider nicht verfügbar.","Tu idioma no está disponible aquí."
"common.chooseALanguage","Wähle eine Sprache.","Selecciona un idioma."
"common.lastUpdate","Letzte Änderung:","Última modificación:"
"dashboard.localInformation","Lokale Informationen","Información local"
"dashboard.offers","Angebote","Ofertas"
"dashboard.events","Veranstaltungen","Actividades"
"dashboard.news","Nachrichten","Noticias"
"dashboard.newsAlternative","Neuigkeiten","Novedades"
"error.notFound.language","Diese Sprache ist hier leider nicht verfügbar.","Tu idioma no está disponible aquí."
"error.notFound.city","Diese Stadt wurde leider nicht gefunden.","No se ha encontrado esta ciudad."
"error.notFound.category","Diese Seite wurde leider nicht gefunden.","No se ha encontrado esta página."
"error.notFound.event","Dieses Event wurde leider nicht gefunden.","No se ha encontrado este evento."
"error.notFound.offer","Dieses Angebot wurde leider nicht gefunden.","No se ha encontrado esta oferta."
"error.notFound.poi","Dieser Point of Interest wurde leider nicht gefunden.","No se ha encontrado este punto de interés."
"error.pageNotFound","Diese Seite wurde leider nicht gefunden.","No se ha encontrado esta página."
"error.networkConnectionFailed","Die Verbindung zum Server ist fehlgeschlagen.","No se ha establecido la conexión con el servidor."
"error.networkRequestFailed","Die Anfrage konnte nicht bearbeitet werden.","No se ha podido editar la consulta."
"error.responseMappingFailed","Die Antwort des Servers konnte nicht verarbeitet werden.","No se ha podido procesar la respuesta del servidor."
"error.unknownError","Ein unbekannter Fehler ist aufgetreten.","Se ha producido un error desconocido."
"error.tryAgain","Erneut versuchen","Intentar de nuevo"
"error.loadingFailed","Die Seite konnte leider nicht geladen werden.","No se ha podido cagar la página."
"error.chooseALanguage","Wähle eine Sprache:","Selecciona un idioma:"
"error.goTo.start","Zur Startseite","Ir a la página de inicio"
"error.goTo.categories","Zu den Kategorien","Ir a las categorías"
