key,source_language,target_language
app.pageTitles.search,Suche,Lêgerîn
app.pageTitles.events,Veranstaltungen,Rûdan
app.pageTitles.offers,Angebote,Xizmet
app.pageTitles.landing,Ortsauswahl,Bijartina cih
app.pageTitles.disclaimer,Impressum und Kontakt,Lêzanînên Weşîner û Têkillî
app.pageTitles.mainDisclaimer,Impressum und Kontakt - {{appName}},Lêzanînên Weşanîner û Têkillî – '{{appName}}'
app.pageTitles.pois,Points of Interest,Babetên balkêş
app.pageTitles.notFound,Seite nicht gefunden,Rûpel nehat dîtin
app.pageTitles.tunews,tünews,tünews
app.pageTitles.localNews,Lokale Nachrichten,
app.metaDescription,"{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","'{{appName}}' rêbera te ya dîcîtal li Almanyayê ye. Zzanyarî, rûdan û şêwirîna xwecihî peyde bike. Hertim birojkirî û bi zimanê te bixwe."
categories.createPdf,PDF erstellen,Pêkanîna PDF'ê
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,Mixabin zimanê te li vir li ber dest nîne.
common.chooseALanguage,Wähle eine Sprache.,Zimanekî bibijêre.
common.lastUpdate,Letzte Änderung: ,Guhertinên herî dawî: 
dashboard.localInformation,Lokale Informationen,Zanyariyên xwecihî
dashboard.offers,Angebote,Xizmet
dashboard.events,Veranstaltungen,Rûdan
dashboard.news,Nachrichten,
dashboard.newsAlternative,Neuigkeiten,
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,Mixabin zimanê te li vir li ber dest nîne.
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,Mixabin ev bajar nehat vedîtin.
error.notFound.category,Diese Seite wurde leider nicht gefunden.,Mixabin ev rûpel peyde nebû.
error.notFound.event,Dieses Event wurde leider nicht gefunden.,Mixabin ev rûdan peyde nebû.
error.notFound.offer,Dieses Angebot wurde leider nicht gefunden.,Mixabin ev xizmet peyde nebû.
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,Mixabin ev babetên balkêş peyde nebûn.
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,Mixabin ev rûpel peyde nebû.
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,Girêdana bi Server'ê pêk nehat.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,Daxwaz nikare were proseskirin.
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,Bersiva Serverê nikare were proseskirin.
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,Şaşitiyeka (Eror) nenas qewimiye.
error.tryAgain,Erneut versuchen,Ji nû va hewil bide
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,Mixabin rûpel nayê barkirin.
error.chooseALanguage,Wähle eine Sprache:,Zimanekî bibijêre:
error.goTo.start,Zur Startseite,Ber bi Rûpela Sereke va
error.goTo.categories,Zu den Kategorien,Ber bi destebendiyan va
error.goTo.events,Zu den Veranstaltungen,Ber bi rûdanan va
error.goTo.offers,Zu den Angeboten,Ber bi xizmetan va
error.pageTitle,Fehler,Şaşitî (Eror)
error.generalError,Ein Fehler ist aufgetreten,Şaşitiyek qewimiye
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,Mixabin guhertina Ziman pêk nehat.
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,Zimanê bijartî bi awayê ne-serxet (Offline) li ber dest nîne. Girêdana Înterneta çalak pêwîst e.
events.location,Standort,Cih
events.date,Datum,Roj
events.events,Veranstaltungen,Rûdan
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,Di dema nika da tu rûdanek tuneye.
feedback.technicalTopics,Technische Funktionen,Kirdeyên Teknîkî
feedback.contentOfCity,Inhalte von {{city}},Naverok {{city}}
feedback.contentOfOffer,"Angebot ""{{offer}}""","Xizmet ""{{offer}}"""
feedback.disclaimer,Kontakt und Impressum,Lêzanînên Weşîner û Têkillî
feedback.searchFor,Suche nach,Lêgerîn sa
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""","Naveroka Rûpelê ""{{page}}"""
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""","Naveroka Rûdanê ""{{event}}"""
feedback.send,Abschicken,Şandin
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,Dema şandina fîdbekekê Şaşitiyek qewimî.
feedback.feedback,Feedback,'Feedback' (Lêveger)
feedback.positiveComment,Was war hilfreich?,Çi tiştek sûdewer bû?
feedback.negativeComment,Was können wir besser machen?,Em bi şe dikin çi tiştî baştir bikin?
feedback.feedbackType,Wofür ist das Feedback?,Lêveger anku 'Feedback' di çi warî da ye?
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,Gelo ev rûpel sûdmend e?
