key,source_language,target_language
app.pageTitles.search,Suche,Arama
app.pageTitles.events,Veranstaltungen,Etkinlikler
app.pageTitles.offers,Angebote,Teklifler
app.pageTitles.landing,Ortsauswahl,Konum seçimi
app.pageTitles.disclaimer,Impressum und Kontakt,Künye ve iletişim
app.pageTitles.mainDisclaimer,Impressum und Kontakt - {{appName}},Künye ve iletişim - {{appName}}
app.pageTitles.pois,Points of Interest,İlgi alanı
app.pageTitles.notFound,Seite nicht gefunden,Sayfa bulunamadı
app.pageTitles.tunews,tünews,tünews
app.pageTitles.localNews,Lokale Nachrichten,
app.metaDescription,"{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}}, Almanya'daki dijital rehberinizdir. Burada yerel bilgiler, etkinlikler ve öneriler bulabilirsiniz. Her zaman günceldir ve kendi dilinizdedir."
categories.createPdf,PDF erstellen,PDF oluşturun
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,Senin dilin burada maalesef yok.
common.chooseALanguage,Wähle eine Sprache.,Bir dil seçin.
common.lastUpdate,Letzte Änderung: ,Son değişiklik: 
dashboard.localInformation,Lokale Informationen,Yerel bilgiler
dashboard.offers,Angebote,Teklifler
dashboard.events,Veranstaltungen,Etkinlikler
dashboard.news,Nachrichten,
dashboard.newsAlternative,Neuigkeiten,
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,Bu dil burada maalesef mevcut değil.
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,Bu şehir maalesef bulunamadı.
error.notFound.category,Diese Seite wurde leider nicht gefunden.,Bu sayfa maalesef bulunamadı.
error.notFound.event,Dieses Event wurde leider nicht gefunden.,Bu etkinlik maalesef bulunamadı.
error.notFound.offer,Dieses Angebot wurde leider nicht gefunden.,Bu teklif maalesef bulunamadı.
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,Bu ilgi alanı maalesef bulunamadı.
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,Bu sayfa maalesef bulunamadı.
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,Sunucu bağlantısı başarısız.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,Talebiniz işlenemedi.
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,Sunucu cevabı işlenemedi.
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,Bilinmeyen bir hata oluştu.
error.tryAgain,Erneut versuchen,Yeniden deneyin
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,Sayfa maalesef yüklenemedi.
error.chooseALanguage,Wähle eine Sprache:,Bir dil seçin:
error.goTo.start,Zur Startseite,Ana sayfaya git
error.goTo.categories,Zu den Kategorien,Kategorilere git
error.goTo.events,Zu den Veranstaltungen,Etkinliklere git
error.goTo.offers,Zu den Angeboten,Tekliflere git
error.pageTitle,Fehler,Hata
error.generalError,Ein Fehler ist aufgetreten,Bir hata oluştu
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,Dil değişimi maalesef başarısız.
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,Seçilen dil çevrimdışı mevcut değil. Etkin bir internet bağlantısı gereklidir.
events.location,Standort,Konum
events.date,Datum,Tarih
events.events,Veranstaltungen,Etkinlikler
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,Güncel bir etkinlik yok.
feedback.technicalTopics,Technische Funktionen,Teknik fonksiyonlar
feedback.contentOfCity,Inhalte von {{city}},{{city}} içerikleri
feedback.contentOfOffer,"Angebot ""{{offer}}""","Teklif ""{{offer}}"""
feedback.disclaimer,Kontakt und Impressum,İletişim ve künye
feedback.searchFor,Suche nach,Ara
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""","Sayfa ""{{page}}"" içeriği"
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""","Etkinlik ""{{event}}"" içeriği"
feedback.send,Abschicken,Gönder
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,Geri bildirim gönderilirken bir hata oluştu.
feedback.feedback,Feedback,Geri bildirim
feedback.positiveComment,Was war hilfreich?,Hangisi yardımcı oldu?
feedback.negativeComment,Was können wir besser machen?,Neleri daha iyi yapabiliriz?
feedback.feedbackType,Wofür ist das Feedback?,Geri bildirim ne için?
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,Bu sayfa yardımcı oldu mu?
feedback.useful,Hilfreich,Yardımcı
feedback.notUseful,Nicht hilfreich,Yardımcı değil
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,Maalesef uygun sonuç bulunamadı.
feedback.yourFeedback,Ihr Feedback...,Geri bildiriminiz...
feedback.informationNotFound,Nicht das Richtige gefunden?,Doğru şeyi bulamadınız mı?
feedback.wantedInformation,Welche Informationen fehlen hier?,Burada hangi bilgiler eksik?
feedback.feedbackSent,Feedback abgeschickt,Geri bildirim gönderildi
